,2022,2021,2020,2019
reportedCurrency,USD,USD,USD,USD
cik,0001817358,0001817358,0001817358,0001817358
fillingDate,2022-03-29,2021-04-07,2020-01-31,2019-01-31
acceptedDate,2022-03-29 16:05:16,2021-04-07 16:08:53,2020-01-31,2019-01-31
calendarYear,2022,2021,2020,2019
period,FY,FY,FY,FY
cashAndCashEquivalents,485998000,377604000,149385000,75691000
shortTermInvestments,0.0,0.0,0.0,0.0
cashAndShortTermInvestments,485998000,377604000,149385000,75691000
netReceivables,19718000,17306000,13999000,15725000
inventory,1171808000,990034000,1099749000,1134156000
otherCurrentAssets,38223000,30076000,26311000,41700000
totalCurrentAssets,1715747000,1415020000,1289444000,1267272000
propertyPlantEquipmentNet,1425382000,1521959000,1587112000,496153000
goodwill,861920000,861920000,861920000,861920000
intangibleAssets,577215000,577000000,577000000,592067000
goodwillAndIntangibleAssets,1439135000,1438920000,1438920000,1453987000
longTermInvestments,0.0,0.0,0.0,0.0
taxAssets,0.0,0.0,0.0,0.0
otherNonCurrentAssets,4676000.0,8583000.0,15845000,21545000
totalNonCurrentAssets,2869193000,2969462000,3041877000,1971685000
otherAssets,0.0,0.0,0.0,0.0
totalAssets,4584940000,4384482000,4331321000,3238957000
accountPayables,737826000,791404000,428823000,432037000
shortTermDebt,86077000,84338000,110445000,68305000
taxPayables,40403000,55688000,29570000,24462000
deferredRevenue,88713000,76778000,70220000,67527000
otherCurrentLiabilities,214494000,214573000,141161000,116614000
totalCurrentLiabilities,1127110000,1167093000,750649000,684483000
longTermDebt,1761252000,1931577000,2570438000,1556755000
deferredRevenueNonCurrent,0.0,0.0,0.0,0.0
deferredTaxLiabilitiesNonCurrent,217212000,138703000,0.0,0.0
otherNonCurrentLiabilities,12420000,35126000,22015000,140680000
totalNonCurrentLiabilities,1990884000,2105406000,2592453000,1697435000
otherLiabilities,0.0,0.0,0.0,0.0
capitalLeaseObligations,1160744000,1230426000,1218225000,0.0
totalLiabilities,3117994000,3272499000,3343102000,2381918000
preferredStock,0.0,0.0,0.0,0.0
commonStock,870000.0,911000.0,0.0,0.0
retainedEarnings,1268060000,987168000,0.0,0.0
accumulatedOtherComprehensiveIncomeLoss,0.0,-3324000.0,-8066000.0,8448000.0
othertotalStockholdersEquity,198016000,127228000,0.0,0.0
totalStockholdersEquity,1466946000,1111983000,0.0,0.0
totalLiabilitiesAndStockholdersEquity,4584940000,4384482000,4331321000,3238957000
minorityInterest,0,0,0,0
totalEquity,1466946000,1111983000,988219000,857039000
totalLiabilitiesAndTotalEquity,4584940000,4384482000,4331321000,3238957000
totalInvestments,0.0,0.0,0.0,0.0
totalDebt,1847329000,2015915000,2680883000,1625060000
netDebt,1361331000,1638311000,2531498000,1549369000
link,https://www.sec.gov/Archives/edgar/data/1817358/000181735822000039/0001817358-22-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1817358/000181735821000059/0001817358-21-000059-index.htm,,
finalLink,https://www.sec.gov/Archives/edgar/data/1817358/000181735822000039/aso-20220129.htm,https://www.sec.gov/Archives/edgar/data/1817358/000181735821000059/aso-20210130.htm,,
