,2019,2018,2017,2016,2015
reportedCurrency,USD,USD,USD,USD,USD
fillingDate,2020-02-20 00:00:00,2019-02-19 00:00:00,2018-02-15 00:00:00,2017-02-22 00:00:00,2016-02-26 00:00:00
acceptedDate,2020-02-19 20:41:08,2019-02-15 18:57:42,2018-02-14 18:12:29,2017-02-21 21:06:50,2016-02-25 18:34:24
period,FY,FY,FY,FY,FY
revenue,1551292000,1427584000,1406612000,811556000,328044000
costOfRevenue,0.0,0.0,0.0,0.0,0.0
grossProfit,0.0,0.0,0.0,0.0,0.0
grossProfitRatio,0.0,0.0,0.0,0.0,0.0
researchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0
generalAndAdministrativeExpenses,508630000,294173000,122793000,80180000,95337000
sellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0
otherExpenses,-222843000,-45206000,55592000,10164000,72787000
operatingExpenses,570000000,655000000,301000000,200000000,100000000
costAndExpenses,0.0,0.0,0.0,0.0,0.0
interestExpense,933751000,606433000,460865000,373424000,274013000
depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0
ebitda,0.0,0.0,0.0,0.0,0.0
ebitdaratio,0.0,0.0,0.0,0.0,0.0
operatingIncome,0.0,0.0,0.0,0.0,0.0
operatingIncomeRatio,0.4175222975429513,0.6522208150273469,0.8405160769281081,0.7659693231274244,0.8257459365207106
totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0
incomeBeforeTax,647699000,931100000,1182280000,621627000,270881000
incomeBeforeTaxRatio,0.4175222975429513,0.6522208150273469,0.8405160769281081,0.7659693231274244,0.8257459365207106
incomeTaxExpense,41766000,-73431000,167628000,38911000,-11001000
netIncome,563296000,963967000,957533000,504453000,268636000
netIncomeRatio,0.36311410102031083,0.6752436283959473,0.6807371186937122,0.6215874197221141,0.8189023423687066
eps,1.35,2.82,3.17,2.11845856840213,1.34
epsdiluted,1.34,2.81,3.15,2.1152242355815023,1.32
weightedAverageShsOut,408789642,341268923,302238065,238122665,200739809
weightedAverageShsOutDil,408990107,343137361,304381388,238486772,202907605
link,https://www.sec.gov/Archives/edgar/data/1556593/000155659320000004/0001556593-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1556593/000155659319000006/0001556593-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1556593/000155659318000008/0001556593-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1556593/000155659317000005/0001556593-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1556593/000155659316000025/0001556593-16-000025-index.html
finalLink,https://www.sec.gov/Archives/edgar/data/1556593/000155659320000004/nrz-20191231x10xk.htm,https://www.sec.gov/Archives/edgar/data/1556593/000155659319000006/nrz-20181231x10xk.htm,https://www.sec.gov/Archives/edgar/data/1556593/000155659318000008/nrz-20171231x10xk.htm,https://www.sec.gov/Archives/edgar/data/1556593/000155659317000005/nrz-20161231x10xk.htm,https://www.sec.gov/Archives/edgar/data/1556593/000155659316000025/nrz-20151231x10xk.htm
