,Ticker,assetToDebt_2022,assetToLiabilities_2022,assetToDebt_2021,assetToLiabilities_2021,assetToDebt_2020,assetToLiabilities_2020
4,ADC,0.0,0.0,3.097189,2.8916435,3.1898434,2.8576262
14,AMH,0.0,0.0,2.8250213,2.5952704,3.3821123,3.0737026
12,ALEX,0.0,0.0,3.404818,2.3313904,2.8040216,2.166188
11,AKR,0.0,0.0,2.3020518,2.0177724,2.2522929,1.9580158
6,AHH,0.0,0.0,1.9470897,1.6732827,1.988879,1.6523205
0,AAT,0.0,0.0,1.79947,1.6693884,1.960807,1.8014601
8,AIRC,0.0,0.0,1.7205098,1.430808,1.3816435,1.2658086
10,AJX,0.0,0.0,17.11002,1.3974509,2.3778965,1.4516085
3,ACRE,0.0,0.0,3.056055,1.3474424,1.4541105,1.3247654
9,AIV,0.0,0.0,1.5063187,1.3003594,1.7000822,1.4363123
2,ACR,0.0,0.0,1.2565038,1.2441043,1.2647507,1.2533768
1,ABR,0.0,0.0,1.8165634,1.2036101,1.3152666,1.2399826
5,AGNC,0.0,0.0,540.86505,1.1778665,4.358757,0.021812888
7,AHT,0.0,0.0,1.0420082,1.0049258,0.50073373,0.92945087
13,ALX,0.0,0.0,0.0,0.0,1.2144736,1.1692283
