,Ticker,assetToDebt_2022,assetToLiabilities_2022,assetToDebt_2021,assetToLiabilities_2021,assetToDebt_2020,assetToLiabilities_2020,earningYield_2022,earningYield_2021,earningYield_2020,balanceSheetClassifier
10,CIO,0.0,0.0,2.4501154,2.191098,1.7088308,1.5651412,0.0,1.172635,0.010247387,2
0,BRDG,0.0,0.0,5.284536,2.8537438,2.5949285,1.8972571,0.0,0.76649076,0.4455145,2
13,ILPT,0.0,0.0,2.2705817,2.1924446,2.1739962,2.09932,0.0,0.36237624,0.24950495,2
8,UMH,0.0,0.0,2.545081,2.4037602,0.97720426,1.8571966,0.0,0.07559926,0.0075056055,2
11,GTY,0.0,0.0,2.4094343,2.0322342,2.3371654,1.9560668,0.0,0.050572168,0.059800666,2
5,UBA,0.0,0.0,3.2850575,2.447184,3.3736281,2.679257,0.0,0.05015417,0.012774625,2
6,UBP,0.0,0.0,3.2850575,2.447184,3.0205631,2.3005252,0.0,0.048188474,0.012273948,2
4,ALEX,0.0,0.0,3.404818,2.3313904,2.8040216,2.166188,0.0,0.027840909,0.0045454544,2
7,CHCT,0.0,0.0,2.7997499,2.58192,3.135579,2.8026886,0.0,0.027238572,0.025046963,2
3,DEA,0.0,0.0,4.062905,2.0412054,2.5121593,2.1230164,0.0,0.026980283,0.010006671,2
15,FPI,0.0,0.0,2.19292,2.1203296,2.1530535,1.6906438,0.0,0.024291925,0.018728029,2
16,GMRE,0.0,0.0,2.1789596,2.0186434,1.876828,1.7117513,0.0,0.02363978,-0.0051778858,2
12,AKR,0.0,0.0,2.3020518,2.0177724,2.2522929,1.9580158,0.0,0.020610686,-0.007633588,2
2,NTST,0.0,0.0,4.382952,3.834678,4.1688347,3.670515,0.0,0.004352557,0.0021762785,2
1,CSR,0.0,0.0,5.1687546,2.1123207,2.035875,1.8897561,0.0,-0.0022392129,0.006382583,2
14,PGRE,0.0,0.0,2.2146516,2.102859,2.2506404,2.1182091,0.0,-0.01556278,-0.018394649,2
9,CLDT,0.0,0.0,2.4880712,2.3649368,2.2508616,2.0216334,0.0,-0.035486758,-0.15097857,2
28,UHT,0.0,0.0,1.7587059,1.6481194,1.6740676,1.4746361,0.0,0.18748525,0.033530105,1
17,RPT,0.0,0.0,2.107714,1.8895607,0.9486928,1.6976489,0.0,0.10902504,-0.016001463,1
25,OLP,0.0,0.0,1.8462514,1.6856842,1.7550567,1.6030027,0.0,0.09184475,0.066279575,1
23,BRT,0.0,0.0,1.9391426,1.7909636,0.42265436,1.9448825,0.0,0.0808933,-0.057568237,1
22,AHH,0.0,0.0,1.9470897,1.6732827,1.988879,1.6523205,0.0,0.040681172,0.047789592,1
27,AAT,0.0,0.0,1.79947,1.6693884,1.960807,1.8014601,0.0,0.024463605,0.018447965,1
20,BDN,0.0,0.0,2.0496123,1.7931176,2.1043515,1.8612189,0.0,0.0112,0.2832,1
29,GNL,0.0,0.0,1.7076489,1.6363188,1.0931343,1.644198,0.0,0.010465562,0.010901319,1
21,LAND,0.0,0.0,2.023333,1.7725618,1.7099578,1.5615078,0.0,0.0061126524,0.012073785,1
18,PDM,0.0,0.0,2.09324,1.8339809,2.3056724,2.0304651,0.0,-0.0010060362,0.18902907,1
26,ESRT,0.0,0.0,1.8306868,1.64829,1.4250932,1.715597,0.0,-0.005761863,-0.0108744735,1
24,RTL,0.0,0.0,1.8576787,1.812896,2.01462,1.8906034,0.0,-0.061776586,-0.048988916,1
19,INN,0.0,0.0,2.083571,1.9563638,2.0059764,1.8908571,0.0,-0.08966672,-0.21714285,1
