,Ticker,assetToDebt_2022,assetToLiabilities_2022,assetToDebt_2021,assetToLiabilities_2021,assetToDebt_2020,assetToLiabilities_2020,earningYield_2022,earningYield_2021,earningYield_2020,balanceSheetClassifier
2,PCH,0.0,0.0,3.3434815,2.5123973,3.1262283,2.2126832,0.0,0.14670701,0.05778192,2
4,LXP,0.0,0.0,2.8640525,2.3809586,2.604206,2.3255787,0.0,0.1420305,0.06943714,2
6,KRC,0.0,0.0,2.5232809,2.162734,2.4868357,2.1172748,0.0,0.12649865,0.03717218,2
9,KIM,0.0,0.0,2.4290078,2.2145183,1.1168121,1.9539067,0.0,0.08346293,0.11715915,2
3,PLD,0.0,0.0,3.2199864,2.819427,3.234013,2.8401113,0.0,0.04467603,0.019081807,2
15,NHI,0.0,0.0,2.2679782,2.1475837,2.075798,1.9533039,0.0,0.043076318,0.07302875,2
12,PSA,0.0,0.0,2.3251183,2.1842527,4.6430583,3.6474795,0.0,0.037790697,0.021218458,2
14,MGP,0.0,0.0,2.2903676,2.0569057,2.3503525,2.1160138,0.0,0.0326609,0.014169068,2
7,MAA,0.0,0.0,2.4985514,2.212308,2.453539,2.1989436,0.0,0.030239852,0.013884506,2
10,IRT,0.0,0.0,2.4051342,2.2713993,1.8345381,1.6973416,0.0,0.0264498,0.009062588,2
5,O,0.0,0.0,2.6859422,2.3954496,2.2987177,2.1332135,0.0,0.014412325,0.019050775,2
13,INVH,0.0,0.0,2.3176193,2.1310215,2.1796942,1.9559699,0.0,0.012787724,0.009946007,2
8,PECO,0.0,0.0,2.467999,2.129483,2.0407193,1.7571183,0.0,0.0050856075,0.0020342432,2
0,NTST,0.0,0.0,4.382952,3.834678,4.1688347,3.670515,0.0,0.004340749,0.0021703744,2
20,NNN,0.0,0.0,2.0748215,2.0135794,2.3713222,2.3015676,0.0,-0.0002686306,0.030075189,2
1,IVT,0.0,0.0,4.1502337,3.4522433,4.321314,3.6012347,0.0,-0.0033721286,-0.0045289854,2
17,PGRE,0.0,0.0,2.2146516,2.102859,2.2506404,2.1182091,0.0,-0.014406413,-0.017027864,2
11,KRG,0.0,0.0,2.3717692,2.0578635,2.1814284,1.8941066,0.0,-0.05316149,-0.010451045,2
16,PEB,0.0,0.0,2.2674675,2.0215092,2.177376,2.160839,0.0,-0.092333935,-0.21062864,2
31,MPW,0.0,0.0,1.7935674,1.6994848,1.8982679,1.7742473,0.0,0.091267474,0.06696982,1
27,OLP,0.0,0.0,1.8462514,1.6856842,1.7550567,1.6030027,0.0,0.08831765,0.06373425,1
24,PINE,0.0,0.0,1.888078,1.8209372,2.3898664,2.3253064,0.0,0.06085044,0.0077984403,1
29,OHI,0.0,0.0,1.8346648,1.7428641,1.8372966,1.7391913,0.0,0.057686005,0.022943297,1
19,LTC,0.0,0.0,2.0821717,1.9808201,2.2475,2.1347501,0.0,0.036872383,0.06328452,1
25,NSA,0.0,0.0,1.8761413,1.8059555,1.8095113,1.6867043,0.0,0.036760814,0.012318419,1
26,OFC,0.0,0.0,1.8519146,1.6530877,1.9252454,1.7106551,0.0,0.028351884,0.036068738,1
22,MNR,0.0,0.0,2.047603,1.9764394,2.2181447,2.1501112,0.0,0.021925643,-0.010760728,1
30,MAC,0.0,0.0,1.8107002,1.6144009,0.8664842,1.3628658,0.0,0.008097166,-0.17779502,1
18,PDM,0.0,0.0,2.09324,1.8339809,2.3056724,2.0304651,0.0,-0.00091911765,0.17269751,1
28,PLYM,0.0,0.0,1.8413675,1.6562144,0.9724682,1.5837942,0.0,-0.026552683,-0.04221651,1
23,PK,0.0,0.0,1.9887732,1.8245318,1.0337858,1.8431407,0.0,-0.15937883,-0.499387,1
21,NYC,0.0,0.0,2.0673597,1.7440662,1.0866144,1.7944695,0.0,-0.84695256,-0.8833971,1
