,Ticker,assetToDebt,peRatio,returnOnCapitalEmployed,assetToDebt_Rank,peRatio_Rank,returnOnCapitalEmployed_Rank,total_Rank
18,VTR,1.7947822,392.20096,0.018185798,7.0,20.0,1.0,11.0
6,SBAC,0.6497602,148.04169,0.08518929,1.0,19.0,15.0,11.0
3,EQIX,1.6387161,127.1113,0.04211503,6.0,18.0,7.0,11.000000000000002
9,WELL,2.1938999,106.27624,0.022694496,12.0,17.0,4.0,12.400000000000002
16,INVH,2.1310215,91.90305,0.030031597,10.0,16.0,6.0,11.600000000000001
2,CCI,1.2682737,71.216934,0.054060627,4.0,15.0,10.0,9.6
5,O,2.3954496,66.48288,0.023204332,15.0,14.0,5.0,12.600000000000001
19,MAA,2.212308,43.80204,0.04344243,13.0,13.0,8.0,12.0
0,AMT,1.1491262,42.63623,0.05149571,3.0,12.0,9.0,7.800000000000001
14,ARE,2.7015054,41.84644,0.018186724,18.0,11.0,2.0,12.000000000000002
1,PLD,2.819427,38.8096,0.056839492,19.0,10.0,11.0,13.8
11,AVB,2.2189972,34.02788,,14.0,9.0,,
4,PSA,2.1842527,32.211384,0.09944744,11.0,8.0,17.0,11.0
13,EXR,1.5660425,31.73188,0.10026629,5.0,7.0,18.0,8.4
17,DRE,2.4254463,25.428207,0.0952931,16.0,6.0,16.0,12.0
12,EQR,2.1207345,24.963228,0.08197152,9.0,5.0,13.0,8.2
10,DLR,2.0326397,24.659117,0.020358715,8.0,4.0,3.0,5.4
7,SPG,1.1287574,21.385649,0.07842776,2.0,3.0,12.0,4.4
8,VICI,3.2526295,14.093146,0.08369324,20.0,2.0,14.0,11.600000000000001
15,WY,2.5638344,11.360113,0.21816984,17.0,1.0,19.0,11.000000000000002
